Rank,Released,Movie,"Worldwide Box Office","Domestic Box Office","International Box Office"
80,2013,World War Z,"$531,861,650","$202,706,711","$329,154,939"
81,2014,Godzilla,"$529,076,069","$200,676,069","$328,400,000"
82,2018,The Meg,"$527,267,828","$145,443,742","$381,824,086"
83,2015,Ant-Man,"$518,858,449","$180,202,163","$338,656,286"
84,1991,Terminator 2: Judgment Day,"$515,376,182","$203,464,105","$311,912,077"
85,2017,Dunkirk,"$512,390,011","$190,068,280","$322,321,731"
86,2021,Venom: Let There be Carnage,"$501,546,922","$213,550,366","$287,996,556"
87,1996,Twister,"$495,700,000","$241,688,385","$254,011,615"
88,2010,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000"
89,2017,War for the Planet of the Apes,"$489,592,267","$146,880,162","$342,712,105"
90,2005,Mr. and Mrs. Smith,"$486,124,090","$186,336,279","$299,787,811"
91,2004,Troy,"$483,152,040","$133,298,577","$349,853,463"
92,2020,Ba bai,"$472,648,086",,"$472,648,086"
93,2021,Godzilla vs. Kong,"$468,043,852","$100,916,094","$367,127,758"
94,1999,The Matrix,"$465,974,198","$173,993,387","$291,980,811"
95,2023,Ant-Man and the Wasp: Quantumania,"$465,312,442","$212,960,787","$252,351,655"
96,2006,X-Men: The Last Stand,"$459,260,946","$234,362,462","$224,898,484"
97,1996,Mission: Impossible,"$457,697,994","$180,981,886","$276,716,108"
98,2014,Lucy,"$457,507,776","$126,573,960","$330,933,816"
99,2003,The Last Samurai,"$456,810,575","$111,110,575","$345,700,000"
100,2007,300,"$454,161,935","$210,614,939","$243,546,996"
101,2000,Gladiator,"$452,282,115","$187,683,805","$264,598,310"
102,2011,Thor,"$449,326,618","$181,030,624","$268,295,994"
103,2001,Pearl Harbor,"$449,239,853","$198,539,855","$250,699,998"
104,2002,Men in Black 2,"$441,767,803","$190,418,803","$251,349,000"
105,2016,Warcraft,"$438,899,824","$47,365,290","$391,534,534"
106,2003,Terminator 3: Rise of the Machines,"$433,058,296","$150,358,296","$282,700,000"
107,2021,Shang-Chi and the Legend of the Ten Rings,"$432,224,634","$224,543,292","$207,681,342"
108,2015,Terminator: Genisys,"$432,150,894","$89,760,956","$342,389,938"
109,2002,Die Another Day,"$431,942,139","$160,942,139","$271,000,000"
110,2018,Rampage,"$427,947,217","$101,028,233","$326,918,984"
111,2003,The Matrix Revolutions,"$427,300,260","$139,270,910","$288,029,350"
112,2020,Bad Boys For Life,"$424,471,663","$204,417,855","$220,053,808"
113,2013,The Wolverine,"$416,456,852","$132,556,852","$283,900,000"
114,2016,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396"
115,1989,Batman,"$411,348,924","$251,188,924","$160,160,000"
116,2013,Pacific Rim,"$411,002,906","$101,802,906","$309,200,000"
117,2017,Kingsman: The Golden Circle,"$408,803,696","$100,234,838","$308,568,858"
118,2003,X-Men 2,"$406,348,630","$214,949,694","$191,398,936"
119,2015,Kingsman: The Secret Service,"$404,561,724","$128,261,724","$276,300,000"
120,2019,Alita: Battle Angel,"$401,900,040","$85,838,210","$316,061,830"
121,2021,Eternals,"$401,731,759","$164,870,264","$236,861,495"
122,2006,Mission: Impossible III,"$399,387,745","$133,501,348","$265,886,397"
123,2021,Dune,"$391,774,790","$108,327,830","$283,446,960"
124,2022,Black Adam,"$391,261,706","$168,152,111","$223,109,595"
125,2016,Independence Day: Resurgence,"$384,169,424","$103,144,286","$281,025,138"
126,2019,Godzilla: King of the Monsters,"$383,299,914","$110,500,138","$272,799,776"
127,2007,Live Free or Die Hard,"$382,288,147","$134,529,403","$247,758,744"
128,2021,Black Widow,"$379,751,131","$183,651,655","$196,099,476"
129,1998,Godzilla,"$376,000,000","$136,314,294","$239,685,706"
130,2013,G.I. Joe: Retaliation,"$375,740,705","$122,523,060","$253,217,645"
131,2009,X-Men Origins: Wolverine,"$374,825,760","$179,883,157","$194,942,603"
132,2011,Captain America: The First Avenger,"$370,569,776","$176,654,505","$193,915,271"
133,2014,Edge of Tomorrow,"$367,028,980","$100,206,256","$266,822,724"
134,1995,Die Hard: With a Vengeance,"$366,101,666","$100,012,499","$266,089,167"
135,2001,Jurassic Park III,"$365,900,000","$181,166,115","$184,733,885"
136,2015,Mad Max: Fury Road,"$365,769,378","$153,636,354","$212,133,024"
137,2009,Terminator Salvation,"$365,491,792","$125,322,469","$240,169,323"
138,1994,True Lies,"$365,300,000","$146,282,411","$219,017,589"
139,2019,Shazam!,"$363,563,907","$140,371,656","$223,192,251"
140,2023,John Wick: Chapter 4,"$363,518,350","$171,155,296","$192,363,054"
141,1999,The World is Not Enough,"$361,730,660","$126,930,660","$234,800,000"
142,2020,Tenet,"$360,240,189","$58,504,105","$301,736,084"
143,2009,Fast & Furious,"$359,347,833","$155,064,265","$204,283,568"
144,2005,Batman Begins,"$358,858,124","$205,343,774","$153,514,350"
145,2002,Minority Report,"$358,824,714","$132,024,714","$226,800,000"
146,1986,Top Gun,"$357,469,522","$180,470,489","$176,999,033"
147,1995,Goldeneye,"$356,429,933","$106,429,941","$249,999,992"
148,2011,X-Men: First Class,"$355,408,305","$146,408,305","$209,000,000"
149,2010,The Karate Kid,"$351,774,938","$176,591,618","$175,183,320"
150,2004,"I, Robot","$348,629,585","$144,801,023","$203,828,562"
151,2014,The Maze Runner,"$348,319,861","$102,427,862","$245,891,999"
152,2001,Rush Hour 2,"$347,425,832","$226,164,286","$121,261,546"
153,2017,xXx: Return of Xander Cage,"$345,033,359","$44,898,413","$300,134,946"
154,2008,Wanted,"$342,416,460","$134,508,551","$207,907,909"
155,1997,Tomorrow Never Dies,"$339,504,276","$125,304,276","$214,200,000"
156,1995,Batman Forever,"$336,529,144","$184,031,112","$152,498,032"
157,2010,Prince of Persia: Sands of Time,"$336,359,676","$90,759,676","$245,600,000"
158,1996,The Rock,"$336,069,511","$134,069,511","$202,000,000"
159,2016,The Great Wall,"$334,486,852","$45,157,105","$289,329,747"
160,2005,Fantastic Four,"$333,132,750","$154,696,080","$178,436,670"
161,2014,300: Rise of an Empire,"$330,780,051","$106,580,051","$224,200,000"
162,2015,Taken 3,"$327,656,424","$89,256,424","$238,400,000"
163,2019,John Wick: Chapter 3 — Parabellum,"$327,203,701","$171,016,727","$156,186,974"
164,2021,Free Guy,"$323,473,792","$121,626,598","$201,847,194"
165,2010,Robin Hood,"$322,459,006","$105,487,148","$216,971,858"
166,1992,Lethal Weapon 3,"$319,700,000","$144,731,527","$174,968,473"
167,2009,Inglourious Basterds,"$316,802,281","$120,774,594","$196,027,687"
168,1997,Air Force One,"$315,268,353","$172,956,409","$142,311,944"
169,2012,Battleship,"$313,477,717","$65,233,400","$248,244,317"
170,2012,The Expendables 2,"$311,979,256","$85,028,192","$226,951,064"
171,2015,Maze Runner: The Scorch Trials,"$310,566,162","$81,697,192","$228,868,970"
172,1996,Ransom,"$308,700,000","$136,492,681","$172,207,319"
173,2016,Dangal,"$305,149,461","$12,391,761","$292,757,700"
174,2018,Skyscraper,"$304,858,121","$68,420,120","$236,438,001"
175,2013,A Good Day to Die Hard,"$304,249,198","$67,349,198","$236,900,000"
176,2009,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498","$152,267,519"
177,1985,Rambo: First Blood Part II,"$300,400,000","$150,415,432","$149,984,568"
178,2004,Van Helsing,"$300,150,546","$120,150,546","$180,000,000"
179,2018,Ocean’s 8,"$297,718,711","$140,218,711","$157,500,000"
180,2000,X-Men,"$296,872,367","$157,299,717","$139,572,650"
181,2015,The Divergent Series: Insurgent,"$295,075,882","$130,179,072","$164,896,810"
182,2018,Pacific Rim: Uprising,"$290,930,148","$59,874,525","$231,055,623"
183,2007,Fantastic Four: Rise of the Silver Surfer,"$289,480,691","$131,921,738","$157,558,953"
184,2013,Elysium,"$286,192,091","$93,050,117","$193,141,974"
185,1998,Lethal Weapon 4,"$285,400,000","$130,444,603","$154,955,397"
186,1994,Speed,"$283,200,000","$121,248,145","$161,951,855"
187,2018,Tomb Raider,"$273,477,501","$58,250,803","$215,226,698"
188,2003,Bad Boys II,"$273,271,982","$138,540,870","$134,731,112"
189,2010,The Expendables,"$268,268,174","$103,068,524","$165,199,650"
190,2002,xXx,"$267,200,000","$141,930,000","$125,270,000"
191,1992,Batman Returns,"$266,824,291","$162,833,635","$103,990,656"
192,2018,Maze Runner: The Death Cure,"$265,878,536","$58,032,443","$207,846,093"
193,1995,Waterworld,"$264,246,220","$88,246,220","$176,000,000"
194,1997,The Fifth Element,"$263,892,820","$63,570,862","$200,321,958"
195,2011,Real Steel,"$263,880,341","$85,463,309","$178,417,032"
196,2017,Baahubali 2: The Conclusion,"$263,502,914","$18,985,794","$244,517,120"
197,1990,Total Recall,"$261,399,830","$119,394,839","$142,004,991"
198,2000,Charlie's Angels,"$259,736,090","$125,305,545","$134,430,545"
199,2010,Knight and Day,"$258,751,370","$76,423,035","$182,328,335"
200,2007,Rush Hour 3,"$256,585,882","$140,125,968","$116,459,914"
