Rank,Region,Score,GDP,Social,Healthy,Freedom,Generosity,Corruption,Area,Population,Continent,Ocupation,Latitude,Longitude
38,Slovakia,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,48845.0,5447011,EU,111.5162452656362,48.669026,19.699023999999998
40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,312685.0,37978548,EU,121.45944960583334,51.919438,19.145135999999997
41,Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,447400.0,32955400,AS,73.65981224854715,41.377491,64.585262
42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,65200.0,2789533,EU,42.784248466257665,55.169438,23.881275
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,1138910.0,49648685,SA,43.59315924875539,4.570868,-74.297333
44,Slovenia,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,20273.0,2067372,EU,101.97661914862132,46.151241,14.995463
45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,129494.0,6465513,NT,49.92905462801365,12.865416,-85.207229
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,10908.0,1845300,EU,169.16941694169418,42.602636,20.902977
47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,2766890.0,44494502,SA,16.081052011464134,-38.416097,-63.616671999999994
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,237500.0,19473936,EU,81.99552,45.943160999999996,24.96676
49,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,9250.0,1189265,EU,128.5691891891892,35.126413,33.429859
50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,283560.0,17084357,SA,60.24953096346452,-1.8312389999999998,-78.183406
51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,17820.0,4137309,AS,232.17222222222222,29.311659999999996,47.481766
52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,514000.0,69428524,AS,135.0749494163424,15.870032,100.992541
